"a5","a2","a4","a6","a1","a3","a7"
"THBS2","MYH11","KCNH3","FBLN1","HIF3A","PPARA","ARFGAP3"
"IBSP","PDE1B","IGF1","RBFOX2","GRHL3","CYB5R3","KDELR3"
"CCDC3","PLEKHA5","COL11A2","CKAP4","MOCOS","FAM83F","FOXRED2"
"COL7A1","DSP","DAAM2","ACVRL1","MYB","TOMM22","KRT18"
"MEF2C","TNFRSF21","ADAMTSL3","PRR13","LYRM2","KRT5","MAP3K12"
"TRIM29","PEAK1","ACAN","IRAK3","IFNE","KRT8","YBX3"
"COL1A2","SPTB","MMP2","NAP1L1","TNC","HNRNPA1","SCNN1A"
"PLCL1","CYP2A19","MFAP2","A2M","MAL2","ITGA5","FKBP4"
"AEBP1","CYP2F1","KDF1","PLEKHG6","CNN3","DNAJC14","SLC41A2"
"KRT15","KCNN4","FAAH","LRRK2","APCDD1L","IFFO1","ARL1"
"KRT13","TACSTD2","FNDC1","HSP90B1","SCNN1G","FOXQ1","DCN"
"TNS4","CYP4B1","COL12A1","SLC5A8","PPL","CMAH","CARMIL1"
"MCOLN3","LIPG","DUOX2","LUM","EMILIN1","H1-3","MDFI"
"PCOLCE","COL15A1","SYNE2","ACSS3","RASSF6","TRIM26","VEGFA"
"ZG16B","ANGPTL2","LAMTOR2","PANX2","SORBS3","GCLC","CFAP161"
"SLC11A2","S100A2","COL11A1","CRELD2","SIPA1L2","RPS18","HOMER2"
"COL1A1","DLC1","PTGIS","ECI2","SCD","SYNGAP1","CFL2"
"SIX3","SLC4A11","EPAS1","TFAP2A","FRMD4B","CNPY3","SLC22A17"
"AQP3","HIP1","HTRA3","GPLD1","RIPK4","RRP36","CDH24"
"novel","SEMA4C","SCARA5","DDR1","EGFL6","ADGRF5","MCTP2"
"","PROM1","CFAP73","C4A","LAMB3","IQGAP1","GSC"
"","SLIT2","BGN","AGER","EFHD1","CD276","CHST6"
"","TESC","TSPAN18","NOTCH4","SNED1","TTC6","SMPD3"
"","TBX5","VCAN","ITPR3","PTN","PCK2","NECTIN2"
"","ADRB1","FMO1","PPARD","EGFR","ERH","ZNF787"
"","ABLIM1","SCIN","MTCH1","PRDX6","LTBP2","CHD5"
"","VIM","CDHR3","RUNX2","GRIN2C","PTPN21","FHAD1"
"","DLG1","GLUL","STRA6","KRT4","PPP4R4","CTRC"
"","COL4A5","FARP2","PAX9","FAM13A","SYNE3","NUDC"
"","FHL1","MAB21L4","NKX2-1","DSG3","KARS1","RALBP1"
"","PLXNB3","CALD1","NFATC4","MYH14","PHLPP2","MAPRE2"
"","SH3RF2","EBF1","ADCY4","AJUBA","NFAT5","PRKN"
"","TMPRSS4","EVPL","SLC7A7","PLEKHG2","RIPOR1","IYD"
"","CYP51A1","SPNS3","NR2F2","COL24A1","SLC6A2","PPP1R14C"
"","FN1","CAPN14","RGMA","SPEG","TYROBP","SMPDL3A"
"","WDR86","RP2","PLEKHH1","ALPL","RASGRP4","SESN1"
"","PTPRZ1","MST1R","ZFYVE26","SP7","NUCB1","ATP5F1A"
"","SLIT3","ECM2","EML5","ZNF775","NTF4","SMAD7"
"","FAT2","CBR2","RIN3","C1orf216","RRAS","LYSMD2"
"","KRT14","KLF5","CLMN","APCDD1","FCGRT","DTWD1"
"","ALOX15","ESRP2","SETD3","RHBDD2","ASPDH","SEMA6D"
"","F3","FAT4","HSP90AA1","","CLSTN1","IGDCC4"
"","PCSK5","SULT1E1","CDH11","","PLOD1","PYGL"
"","SCN1A","ASPG","MMP15","","FAM131C","FRMD6"
"","TP63","","KIFC3","","ARHGEF19","NID2"
"","PRRG3","","GPT2","","CROCC","SIX4"
"","NRP2","","NFKBID","","ARHGEF10L","BNC2"
"","LRRC15","","APOE","","EIF4G3","PTPRD"
"","COL6A3","","DHX34","","WNT4","SMC5"
"","IER3","","CYTH2","","RPS6KA1","TPM2"
"","ALDH1A1","","FTL","","THEMIS2","SLC44A1"
"","SHISA2","","PPP1R15A","","SDC3","KLF4"
"","IPPK","","NAPSA","","TRIT1","ST6GALNAC4"
"","CELSR1","","FCAR","","EPB41L3","RAPGEF1"
"","AKAP12","","PGD","","OSBPL1A","RALGDS"
"","FZD8","","HSPG2","","GALNT1","COL5A1"
"","DEPDC1B","","FGR","","SSX2IP","GPT"
"","CCL24","","COL16A1","","NEXN","GPAA1"
"","MFAP4","","MAP7D1","","TSPAN1","DCSTAMP"
"","BHLHE40","","MACF1","","PRDX1","RUNX1T1"
"","GJB6","","GLIS1","","TIE1","MMP16"
"","PPP1R14A","","PLK3","","IGF2R","ZFHX4"
"","SPTBN2","","RPS8","","HECA","PREX2"
"","PDLIM7","","VNN2","","BCLAF1","ATP1B1"
"","","","ENPP1","","ARHGAP18","SLAMF7"
"","","","ARG1","","DCBLD1","COPA"
"","","","PRDM1","","KCNQ5","BGLAP"
"","","","SOBP","","CEP162","SSR2"
"","","","TPBG","","AMD1","ATP8B2"
"","","","SETBP1","","MICAL1","ACP6"
"","","","TCF4","","EEF1A1","PHGDH"
"","","","TXNL1","","CCPG1","MAN1A2"
"","","","TPM1","","CAPN3","TSPAN2"
"","","","MYO5A","","SPINT1","KCNA3"
"","","","GNB5","","PAK6","ELAPOR1"
"","","","ATP8B4","","CACHD1","VCAM1"
"","","","FBN1","","SERPINB5","FAT1"
"","","","GATM","","ATP8B1","PLCB4"
"","","","DUOXA2","","RPL4","PTPRA"
"","","","PLCB2","","NIN","BPIFB1"
"","","","LRRK1","","HIF1A","BPIFB5"
"","","","ATP10A","","NFIB","SRC"
"","","","LMAN1","","JAK2","PLTP"
"","","","SMAD6","","GLIS3","SLC2A10"
"","","","THSD4","","FAM214B","NFATC2"
"","","","LGALS3","","EGFL7","SEPTIN1"
"","","","SIX1","","HSF1","ASPN"
"","","","NTRK3","","TRAPPC9","OMD"
"","","","DOCK8","","SQLE","EIF2AK3"
"","","","FAM189A2","","PABPC1","HK2"
"","","","TBC1D2","","DECR1","TGFA"
"","","","SNX30","","WWP1","PLEK"
"","","","TLR4","","SEC31B","AHSA2"
"","","","HSPA5","","PDE7A","ERLEC1"
"","","","ENG","","SLC19A2","XDH"
"","","","FAM102A","","RCSD1","ADGRF3"
"","","","DNM1","","B4GALT3","NBAS"
"","","","SPTAN1","","CD84","PDIA6"
"","","","SH3GLB2","","IGSF9","TMEM129"
"","","","LAMC3","","NES","FAM114A1"
"","","","FBXO32","","NPR1","PPEF2"
"","","","COL14A1","","FMO5","FRAS1"
"","","","SDC2","","CHI3L2","SH3D19"
"","","","TRAM1","","LRRC8C","ADH1C"
"","","","CYP7A1","","GPAT4","SPP1"
"","","","GORAB","","JAG1","SEC31A"
"","","","OLFML2B","","NOL4L","CSN3"
"","","","ARHGAP30","","MMP9","TNFRSF19"
"","","","TAGLN2","","CASS4","DGKH"
"","","","ARHGEF11","","PDGFA","OLFM4"
"","","","LMNA","","CYP2W1","GPC6"
"","","","TPM3","","ZFAND2A","TNFSF13B"
"","","","S100A10","","ARPC1B","DOCK5"
"","","","TENT5C","","CIITA","SPOCK3"
"","","","PTGFRN","","PKD1","SCARB1"
"","","","PPM1J","","FHL2","RHOF"
"","","","RPL5","","MRPL30","TMEM116"
"","","","CLCA1","","MGAT4A","FICD"
"","","","DNAI3","","INPP4A","TPST2"
"","","","PRNP","","ATP6V1B1","MN1"
"","","","GPCPD1","","PEX13","PIK3IP1"
"","","","PLCB1","","BCL11A","ARVCF"
"","","","ANKEF1","","EFEMP1","BICC1"
"","","","ACSS1","","CCDC88A","TYSND1"
"","","","SIGLEC1","","KLHL29","ARHGAP22"
"","","","HCK","","SLC4A4","ACTA2"
"","","","BPIFA1","","SEPTIN11","ENTPD1"
"","","","EYA2","","MAML3","BLNK"
"","","","B4GALT5","","JADE1","GFRA1"
"","","","TFAP2C","","ANXA5","GRK5"
"","","","GATA5","","CFI","BAG3"
"","","","SUN1","","OSTC","INPP5F"
"","","","SDK1","","SPARCL1","KIF26B"
"","","","COL26A1","","WASF3","NAV1"
"","","","BCL7B","","RPL21","DAPK1"
"","","","ITGAM","","THSD1","NTRK2"
"","","","ITGAL","","LCP1","ZEB1"
"","","","SPNS1","","LAMP1","ITGA8"
"","","","GTF3C1","","PITPNM2","ADAMTS9"
"","","","GPRC5B","","TRPV4","GXYLT2"
"","","","ROGDI","","GRK3","IRAK2"
"","","","CLCN7","","KREMEN1","RPN1"
"","","","SLC9A3R2","","ZDHHC8","SEC61A1"
"","","","ABCA3","","MTR","COPB2"
"","","","IL1R1","","LYST","EAF2"
"","","","SFTPB","","AGT","CCDC80"
"","","","CAPG","","TM9SF3","BACE2"
"","","","DYSF","","PIK3AP1","SYTL5"
"","","","ANXA4","","CALHM2","OGT"
"","","","GFPT1","","COL17A1","PWWP3B"
"","","","ANTXR1","","TCF7L2","LONRF3"
"","","","PSME4","","EBF3","RENBP"
"","","","SIX2","","MARK1","EFEMP2"
"","","","LTBP1","","PTPRC","CDC42EP2"
"","","","PPP1CB","","ELF3","MAP4K2"
"","","","KIF3C","","MRC1","PHEROC"
"","","","LRPAP1","","FRMD4A","SCGB1D1"
"","","","SH3TC1","","USP6NL","STX3"
"","","","SLC34A2","","PRKCQ","CREB3L1"
"","","","PCDH7","","CTSV","TRIM44"
"","","","CD68","","SATB1","CD44"
"","","","LIMCH1","","CCR1","ABTB2"
"","","","NFXL1","","PLXNB1","RCN1"
"","","","PDGFRA","","AMIGO3","GALNT18"
"","","","BTC","","TWF2","OAZ1"
"","","","NAAA","","SEMA3G","STXBP2"
"","","","SFRP2","","CACNA1D","ICAM5"
"","","","RPS3A","","CADPS","ICAM1"
"","","","HHIP","","PPARG","NFIX"
"","","","INPP4B","","FGD5","PODNL1"
"","","","SEC24D","","XRN1","ADGRE2"
"","","","HPSE","","VEPH1","TTC37"
"","","","HSPH1","","PLD1","CAST"
"","","","POSTN","","ABCC5","SLC12A2"
"","","","DGKD","","MUC13","TGFBI"
"","","","RGCC","","MYLK","HBEGF"
"","","","COMMD6","","FBXO40","TCERG1"
"","","","DOK2","","FAM3B","PPFIBP2"
"","","","SFTPC","","ADARB1","OR51E1"
"","","","RBM19","","GPM6B","FCHSD2"
"","","","SPECC1L","","RPS4X","ARRB1"
"","","","SEPTIN5","","COL4A6","TAGLN"
"","","","EGR2","","ELF4","HYOU1"
"","","","CDH23","","MBNL3","FMOD"
"","","","SPOCK2","","IKBKG","DNAH11"
"","","","SFTPD","","TSPAN4","RAPGEF5"
"","","","SFTPA1","","CHKA","SEMA3D"
"","","","ALDH18A1","","PC","FGL2"
"","","","UBTD1","","SIPA1","PTGS2"
"","","","PDCD4","","FERMT3","ORC4"
"","","","ADRA2A","","ACP2","TENM3"
"","","","FGFR2","","MDK","CFAP97"
"","","","HTRA1","","CAT","RAB11FIP1"
"","","","ADAM8","","QSER1","ADGRA2"
"","","","CDC42BPA","","PDE3B","ITGA6"
"","","","IL11RA","","COPB1","COL5A2"
"","","","DNAJA1","","ANKRD24","CFAP65"
"","","","JCAD","","CREB3L3","AGAP1"
"","","","SVIL","","MCOLN1","HDLBP"
"","","","CCNY","","MYO1F","ADCK2"
"","","","ITIH5","","PDE4A","CREB3L2"
"","","","SEMA3F","","MAN2B1","MEST"
"","","","SFMBT1","","PKN1","KCP"
"","","","MITF","","ADGRE3","FAM3C"
"","","","CIDEC","","PIK3R2","NOD1"
"","","","SLC6A6","","TBC1D9B","CCL28"
"","","","ACKR4","","ARRDC3","MAP1B"
"","","","CLDN18","","NR2F1","SPARC"
"","","","APOD","","SLC27A6","NPTX1"
"","","","B4GALT4","","EGR1","ARHGAP27"
"","","","ABI3BP","","ARAP3","FKBP10"
"","","","ROBO2","","ARHGAP26","CACNA1G"
"","","","IGSF5","","RPL27A","ITGA3"
"","","","MX2","","SLCO2B1","MYO1D"
"","","","OBP","","GDPD5","DHRS13"
"","","","MID1","","GAB2","C12H17orf97"
"","","","SAT1","","TENM4","CLUH"
"","","","MAGED1","","AMOTL1","KIF1C"
"","","","MSN","","CBL","NTN1"
"","","","BEX3","","MCAM","CFAP52"
"","","","RNF128","","NECTIN1","UBB"
"","","","SLC6A8","","UBASH3B","GRAP"
"","","","MPP1","","GRAMD1B","ND4L"
"","","","TPCN2","","DYNC1I1","SNORA53"
"","","","TCIRG1","","AGR2","SNORA29"
"","","","CORO1B","","CDCA7L","SCARNA13"
"","","","EHBP1L1","","CACYBP","SCARNA16"
"","","","SCGB1A1","","RASAL2","BCAM"
"","","","MS4A7","","NIBAN1","IRAG1"
"","","","SERPING1","","RPS6KC1","KCNAB2"
"","","","SPI1","","IRF6","CD300H"
"","","","NR1H3","","SRGAP2","MCF2L"
"","","","LARGE2","","MBD5","HPN"
"","","","CHST1","","ZNF703","NDRG4"
"","","","PRR5L","","DUSP4","CD9"
"","","","LGR4","","FMNL2","BBLN"
"","","","SPON1","","TANC1","BANK1"
"","","","ADGRE1","","FZD7","CDON"
"","","","KANK3","","ACSL3","COL6A1"
"","","","ANGPTL4","","GIMAP8","PDGFRB"
"","","","DNASE2","","DENND2A","SRXN1"
"","","","ADGRL1","","SKAP2","RHBDF2"
"","","","ADGRE5","","PDZD2","NCKAP5"
"","","","DNAJB1","","ADAMTS12","FBRSL1"
"","","","CYP4F3","","C7","ARHGEF40"
"","","","B3GNT3","","CPEB4","CFAP57"
"","","","MAST3","","NPM1","FADS1"
"","","","RAB24","","SEMA5A","ADAMTS2"
"","","","FGFR4","","TRIM47","VAT1"
"","","","HK3","","JPT1","F13A1"
"","","","IQGAP2","","NAT9","CCR2"
"","","","THBS4","","FMNL1","CRISP3"
"","","","PAM","","EZH1","RPS6KA5"
"","","","LOX","","RARA","TMEM181"
"","","","PRDM6","","RAPGEFL1","MID1IP1"
"","","","SEC24A","","PSMD3","SNORD22"
"","","","DIAPH1","","SRSF1","VASN"
"","","","ABLIM3","","RNF43","GAS2L1"
"","","","PPARGC1B","","DHX40","SLC10A3"
"","","","FTH1","","VMP1","ENPP4"
"","","","ARAP1","","CPD","SSBP4"
"","","","ATG16L2","","SPNS2","SLC23A1"
"","","","UCP2","","PIK3R5","ADAMTSL2"
"","","","UCP3","","ALDH3A2","EPHB3"
"","","","SPCS2","","SRCIN1","SLC45A3"
"","","","PRSS23","","ND1","A4GALT"
"","","","MMP13","","ND2","SLC40A1"
"","","","POU2AF1","","ATP6","DAGLB"
"","","","MPZL2","","COX3","CCDC96"
"","","","C2CD2L","","ND4","PFKL"
"","","","HSPA8","","ND5","LDLR"
"","","","PDIA4","","SNORD89","RB1CC1"
"","","","RALGPS2","","SNORA74","PPP2R2B"
"","","","IER5","","KIF13A","CIAPIN1"
"","","","NCF2","","CSRP1","FASN"
"","","","PIGR","","S100A6","LRRC4B"
"","","","MARCO","","RNF217","HS1BP3"
"","","","TFCP2L1","","CKB","C15orf40"
"","","","ENPP6","","ZEB2","KIF2A"
"","","","PKP4","","CHD3","DPP3"
"","","","COL3A1","","MYO1C","PIP5K1A"
"","","","SF3B1","","FNDC3A","SSR3"
"","","","EEF1B2","","PCDH1","DDA1"
"","","","CYP27A1","","PPFIA3","HRAS"
"","","","SERPINE2","","RAB20","ZNF469"
"","","","NYAP2","","CDH16","SOX7"
"","","","COL4A4","","HNRNPK","PTCH2"
"","","","COL4A3","","PLEKHO1","TEKT4"
"","","","GPC1","","CRYBG3","CHRM2"
"","","","INSIG1","","NET1","S100A12"
"","","","CCM2","","CA4","ZCCHC24"
"","","","MYO1G","","MAN1C1","TREM1"
"","","","RAI14","","FCN2","MUC5B"
"","","","DUSP1","","EHD2","LAX1"
"","","","ADAM19","","SLC46A1","ZNF177"
"","","","CYFIP2","","TNXB","RRP7A"
"","","","ANXA6","","CHST3","GNAO1"
"","","","TNIP1","","P3H1","EDEM1"
"","","","GAA","","NEDD9","LAIR1"
"","","","UNC13D","","PLXNA1","ZNF532"
"","","","ITGB4","","KRT23","PYCR1"
"","","","FAM20A","","SCARF1","CHP2"
"","","","ARSG","","MGLL","CXCL12"
"","","","SLC16A6","","KAT2B","PIP"
"","","","ACE","","THUMPD1","PID1"
"","","","GRN","","RTN1","SFRP4"
"","","","RAMP2","","LAPTM5","YPEL2"
"","","","PLEKHH3","","FMNL3","CDH5"
"","","","IGFBP4","","DDIT4L","MAPK15"
"","","","HOXB7","","MCTP1","TPPP3"
"","","","NGFR","","SEPSECS","CD302"
"","","","TRIM25","","DOCK4","RPH3AL"
"","","","SERPINF1","","SERPINE1","PPM1H"
"","","","SCIMP","","MAP3K5","FABP3"
"","","","RNF222","","SRPK2","FOXF2"
"","","","TRPV2","","ARHGAP31","CST3"
"","","","ATP8","","SIRT2","ssc-mir-6782"
"","","","ND3","","ROS1","MGP"
"","","","CYTB","","GIMAP6","HCAR2"
"","","","SNORD17","","CSTB","SOX8"
"","","","SCARNA2","","ARHGAP45","EREG"
"","","","SNORA80E","","ABCG1","PAIP2B"
"","","","SNORA49","","IQSEC1","TRAM2"
"","","","ARX","","FHOD3","VAPA"
"","","","NRG2","","SNRPN","MBP"
"","","","ADAMTS13","","INHCA","CFAP61"
"","","","FKBP9","","RHOBTB1","NADK"
"","","","CDC42EP3","","SIRPA","RASSF3"
"","","","CGAS","","BHLHE41","TRIB2"
"","","","PTGR1","","PTPRM","PLEC"
"","","","TKT","","RPL26","KANK2"
"","","","FLVCR2","","DOK6","NCS1"
"","","","STIP1","","BMP3","SOX10"
"","","","RRP1B","","UBC","H1-0"
"","","","SNORA5A","","NAV3","BPGM"
"","","","CHST2","","NDNF","FSTL1"
"","","","ICOSLG","","KCNE3","SLPI"
"","","","STK10","","OLFM1","RTKN2"
"","","","STK39","","TSC22D3","TRIB3"
"","","","S100PBP","","ARHGEF6","BCL2A1"
"","","","PYGB","","HSD11B1L","TEDC1"
"","","","CLMP","","TATDN1","GPR35"
"","","","TBX4","","SELENOI","TNFRSF13B"
"","","","TRPM2","","KDELR2","ZFHX2"
"","","","SNORA23","","PPP1R18","STAT6"
"","","","DRAM1","","NUDT3","MAF"
"","","","AGPS","","SLC2A9",""
"","","","ARHGEF26","","CARD9",""
"","","","PTGER4","","SEMA4B",""
"","","","PDE4DIP","","LYNX1",""
"","","","GUCY1A2","","SH2D1B",""
"","","","MEGF6","","RPL7",""
"","","","CD59","","HMGA1",""
"","","","ITGB2","","CDR2",""
"","","","FAM50A","","ZHX3",""
"","","","SUSD2","","RASSF2",""
"","","","ALDH1A2","","DDX41",""
"","","","CSF3R","","CYP2S1",""
"","","","SFRP1","","WFDC2",""
"","","","BOC","","GCNT2",""
"","","","IGFBP5","","RGS6",""
"","","","MFSD12","","TCF21",""
"","","","DLG5","","FLNA",""
"","","","SERTAD4","","PRKCB",""
"","","","TBX2","","FOXG1",""
"","","","SH3PXD2B","","GNAQ",""
"","","","MRAS","","EYA4",""
"","","","DZIP1L","","SLC31A1",""
"","","","LAT2","","MAP2K3",""
"","","","ESYT3","","ST3GAL6",""
"","","","FCGBP","","CDKL1",""
"","","","TNS1","","IRX1",""
"","","","LRRFIP2","","ADORA2B",""
"","","","C1orf115","","KLF6",""
"","","","CYP4F2","","F2R",""
"","","","TMEM9","","MFHAS1",""
"","","","MVP","","IWS1",""
"","","","ADCY5","","CAVIN1",""
"","","","COL6A2","","FAM219A",""
"","","","ARHGEF15","","MCM6",""
"","","","DMD","","BTG1",""
"","","","RPN2","","TAL1",""
"","","","ZFP36L1","","GPR160",""
"","","","FLYWCH1","","TRADD",""
"","","","PAX3","","FGFRL1",""
"","","","TNIK","","PAWR",""
"","","","MZB1","","CLEC11A",""
"","","","CAPN2","","PPP4C",""
"","","","FCN1","","RPL15",""
"","","","SLC16A2","","SHMT2",""
"","","","GPRC5A","","TMEM92",""
"","","","RASSF4","","RPSA",""
"","","","RACK1","","TMCO1",""
"","","","PLCH2","","NFAM1",""
"","","","C3H16orf54","","BTBD9",""
"","","","SRGAP1","","SLC25A28",""
"","","","LTF","","FOXA1",""
"","","","SLC15A2","","TBX1",""
"","","","SARM1","","ZC3H12A",""
"","","","SNORA21","","CXXC5",""
"","","","UPP1","","IL17RB",""
"","","","DMRTA2","","MGAT3",""
"","","","IGF1R","","HSD17B2",""
"","","","FGFR3","","PERP",""
"","","","DENND3","","PRX",""
"","","","APOA1","","ZFP36L2",""
"","","","XBP1","","HS3ST3A1",""
"","","","RAMP3","","KLF11",""
"","","","PTTG1IP2","","DNM3",""
"","","","UBE2E2","","PDXDC1",""
"","","","LSP1","","SMARCE1",""
"","","","PRRX1","","AKT1",""
"","","","JUN","","CBX5",""
"","","","SHANK3","","ETNK1",""
"","","","ZZEF1","","PRR16",""
"","","","ACP5","","PTI",""
"","","","PLXDC2","","CLEC12B",""
"","","","DMXL2","","RGS8",""
"","","","TPPP","","LMO7",""
"","","","PALM2AKAP2","","ZBTB46",""
"","","","AQP1","","COLEC12",""
"","","","RPL37","","PXN",""
"","","","IRF4","","DIO2",""
"","","","MUC5AC","","NOL7",""
"","","","ZBED5","","AGPAT2",""
"","","","LOXL2","","PRKACB",""
"","","","APOBR","","CLDN5",""
"","","","SRGAP3","","",""
"","","","COL8A2","","",""
"","","","INF2","","",""
"","","","GPX1","","",""
"","","","SLC35B1","","",""
"","","","PRODH","","",""
"","","","DYNC2H1","","",""
"","","","TXNDC5","","",""
"","","","PPIB","","",""
"","","","CEBPB","","",""
"","","","SLC12A7","","",""
"","","","CARD11","","",""
"","","","RPS27A","","",""
"","","","PAX7","","",""
"","","","GPIHBP1","","",""
"","","","retired","","",""
"","","","RGS19","","",""
"","","","RPL17-C18orf32","","",""
"","","","KREMEN2","","",""
"","","","PI3","","",""
"","","","TMEM37","","",""
"","","","PIEZO1","","",""
"","","","IGF2","","",""
"","","","TMEM225B","","",""
"","","","JCHAIN","","",""
"","","","IGFBP2","","",""
"","","","RFX2","","",""
"","","","CCDC134","","",""
"","","","PLXNB2","","",""
"","","","RPS15A","","",""
"","","","WNT5A","","",""
"","","","JDP2","","",""
"","","","JMJD6","","",""
"","","","OBP2B","","",""
"","","","RRAD","","",""
"","","","TBC1D20","","",""
"","","","VASP","","",""
"","","","CXCL13","","",""
"","","","PALD1","","",""
"","","","PTP4A3","","",""
"","","","PITX1","","",""
"","","","PTHLH","","",""
"","","","CRIP1","","",""
"","","","TMPPE","","",""
"","","","MXRA7","","",""
"","","","CLIC3","","",""
"","","","CLIC5","","",""
"","","","GSN","","",""
"","","","LY6D","","",""
"","","","MAP3K11","","",""
"","","","ATP11A","","",""
"","","","PPBP","","",""
"","","","COTL1","","",""
"","","","IGHM","","",""
"","","","RGS5","","",""
"","","","NSMF","","",""
"","","","COL18A1","","",""
"","","","CANT1","","",""
"","","","RXRA","","",""
"","","","BHLHA15","","",""
"","","","MSI2","","",""
"","","","CRIP2","","",""
"","","","AXL","","",""
"","","","PPM1K","","",""
"","","","ANO8","","",""
"","","","ADCY7","","",""
"","","","SLCO4A1","","",""
"","","","DERL3","","",""
"","","","HMOX1","","",""
"","","","SLC11A1","","",""
"","","","SECTM1","","",""
"","","","HSPB1","","",""
"","","","ITPKB","","",""
"","","","PAG1","","",""
"","","","RPL3","","",""
"","","","HERPUD1","","",""
"","","","EYA1","","",""
"","","","SPTBN1","","",""
"","","","CTSD","","",""
"","","","SKI","","",""
"","","","GNAT1","","",""
"","","","FMN1","","",""
"","","","COL4A1","","",""
"","","","WDFY4","","",""
"","","","HSPA6","","",""
